series,country,year,key,value
Electricity,Zimbabwe,1971,Oil,0
Electricity,Zimbabwe,1972,Oil,0
Electricity,Zimbabwe,1973,Oil,0
Electricity,Zimbabwe,1974,Oil,0
Electricity,Zimbabwe,1975,Oil,0
Electricity,Zimbabwe,1976,Oil,0
Electricity,Zimbabwe,1977,Oil,0
Electricity,Zimbabwe,1978,Oil,0
Electricity,Zimbabwe,1979,Oil,0
Electricity,Zimbabwe,1980,Oil,0
Electricity,Zimbabwe,1981,Oil,0
Electricity,Zimbabwe,1982,Oil,0
Electricity,Zimbabwe,1983,Oil,0
Electricity,Zimbabwe,1984,Oil,0
Electricity,Zimbabwe,1985,Oil,0
Electricity,Zimbabwe,1986,Oil,0
Electricity,Zimbabwe,1987,Oil,0
Electricity,Zimbabwe,1988,Oil,0
Electricity,Zimbabwe,1989,Oil,0
Electricity,Zimbabwe,1990,Oil,0
Electricity,Zimbabwe,1991,Oil,0
Electricity,Zimbabwe,1992,Oil,0
Electricity,Zimbabwe,1993,Oil,0
Electricity,Zimbabwe,1994,Oil,0
Electricity,Zimbabwe,1995,Oil,0
Electricity,Zimbabwe,1996,Oil,0
Electricity,Zimbabwe,1997,Oil,0
Electricity,Zimbabwe,1998,Oil,0
Electricity,Zimbabwe,1999,Oil,0
Electricity,Zimbabwe,2000,Oil,0
Electricity,Zimbabwe,2001,Oil,0
Electricity,Zimbabwe,2002,Oil,0
Electricity,Zimbabwe,2003,Oil,0
Electricity,Zimbabwe,2004,Oil,0
Electricity,Zimbabwe,2005,Oil,0
Electricity,Zimbabwe,2006,Oil,0
Electricity,Zimbabwe,2007,Oil,0
Electricity,Zimbabwe,2008,Oil,0
Electricity,Zimbabwe,2009,Oil,0
Electricity,Zimbabwe,2010,Oil,0
Electricity,Zimbabwe,2011,Oil,0
Electricity,Zimbabwe,2012,Oil,0
Electricity,Zimbabwe,2013,Oil,0
Electricity,Zimbabwe,2014,Oil,0
Electricity,Zambia,1971,Oil,5
Electricity,Zambia,1972,Oil,1
Electricity,Zambia,1973,Oil,1
Electricity,Zambia,1974,Oil,0
Electricity,Zambia,1975,Oil,0
Electricity,Zambia,1976,Oil,0
Electricity,Zambia,1977,Oil,0
Electricity,Zambia,1978,Oil,0
Electricity,Zambia,1979,Oil,0
Electricity,Zambia,1980,Oil,0
Electricity,Zambia,1981,Oil,0
Electricity,Zambia,1982,Oil,0
Electricity,Zambia,1983,Oil,0
Electricity,Zambia,1984,Oil,0
Electricity,Zambia,1985,Oil,0
Electricity,Zambia,1986,Oil,0
Electricity,Zambia,1987,Oil,0
Electricity,Zambia,1988,Oil,0
Electricity,Zambia,1989,Oil,0
Electricity,Zambia,1990,Oil,0
Electricity,Zambia,1991,Oil,0
Electricity,Zambia,1992,Oil,0
Electricity,Zambia,1993,Oil,0
Electricity,Zambia,1994,Oil,0
Electricity,Zambia,1995,Oil,0
Electricity,Zambia,1996,Oil,0
Electricity,Zambia,1997,Oil,0
Electricity,Zambia,1998,Oil,0
Electricity,Zambia,1999,Oil,0
Electricity,Zambia,2000,Oil,0
Electricity,Zambia,2001,Oil,0
Electricity,Zambia,2002,Oil,0
Electricity,Zambia,2003,Oil,0
Electricity,Zambia,2004,Oil,0
Electricity,Zambia,2005,Oil,0
Electricity,Zambia,2006,Oil,0
Electricity,Zambia,2007,Oil,0
Electricity,Zambia,2008,Oil,0
Electricity,Zambia,2009,Oil,0
Electricity,Zambia,2010,Oil,0
Electricity,Zambia,2011,Oil,0
Electricity,Zambia,2012,Oil,0
Electricity,Zambia,2013,Oil,0
Electricity,Zambia,2014,Oil,2
Electricity,South Africa,1971,Oil,0
Electricity,South Africa,1972,Oil,0
Electricity,South Africa,1973,Oil,0
Electricity,South Africa,1974,Oil,0
Electricity,South Africa,1975,Oil,0
Electricity,South Africa,1976,Oil,0
Electricity,South Africa,1977,Oil,0
Electricity,South Africa,1978,Oil,0
Electricity,South Africa,1979,Oil,0
Electricity,South Africa,1980,Oil,0
Electricity,South Africa,1981,Oil,0
Electricity,South Africa,1982,Oil,0
Electricity,South Africa,1983,Oil,0
Electricity,South Africa,1984,Oil,0
Electricity,South Africa,1985,Oil,0
Electricity,South Africa,1986,Oil,0
Electricity,South Africa,1987,Oil,0
Electricity,South Africa,1988,Oil,0
Electricity,South Africa,1989,Oil,0
Electricity,South Africa,1990,Oil,0
Electricity,South Africa,1991,Oil,0
Electricity,South Africa,1992,Oil,0
Electricity,South Africa,1993,Oil,0
Electricity,South Africa,1994,Oil,0
Electricity,South Africa,1995,Oil,0
Electricity,South Africa,1996,Oil,0
Electricity,South Africa,1997,Oil,0
Electricity,South Africa,1998,Oil,0
Electricity,South Africa,1999,Oil,0
Electricity,South Africa,2000,Oil,0
Electricity,South Africa,2001,Oil,0
Electricity,South Africa,2002,Oil,0
Electricity,South Africa,2003,Oil,0
Electricity,South Africa,2004,Oil,0
Electricity,South Africa,2005,Oil,0
Electricity,South Africa,2006,Oil,0
Electricity,South Africa,2007,Oil,0
Electricity,South Africa,2008,Oil,0
Electricity,South Africa,2009,Oil,0
Electricity,South Africa,2010,Oil,0
Electricity,South Africa,2011,Oil,0
Electricity,South Africa,2012,Oil,0
Electricity,South Africa,2013,Oil,0
Electricity,South Africa,2014,Oil,0
Electricity,"Yemen, Rep.",1971,Oil,100
Electricity,"Yemen, Rep.",1972,Oil,100
Electricity,"Yemen, Rep.",1973,Oil,100
Electricity,"Yemen, Rep.",1974,Oil,100
Electricity,"Yemen, Rep.",1975,Oil,100
Electricity,"Yemen, Rep.",1976,Oil,100
Electricity,"Yemen, Rep.",1977,Oil,100
Electricity,"Yemen, Rep.",1978,Oil,100
Electricity,"Yemen, Rep.",1979,Oil,100
Electricity,"Yemen, Rep.",1980,Oil,100
Electricity,"Yemen, Rep.",1981,Oil,100
Electricity,"Yemen, Rep.",1982,Oil,100
Electricity,"Yemen, Rep.",1983,Oil,100
Electricity,"Yemen, Rep.",1984,Oil,100
Electricity,"Yemen, Rep.",1985,Oil,100
Electricity,"Yemen, Rep.",1986,Oil,100
Electricity,"Yemen, Rep.",1987,Oil,100
Electricity,"Yemen, Rep.",1988,Oil,100
Electricity,"Yemen, Rep.",1989,Oil,100
Electricity,"Yemen, Rep.",1990,Oil,100
Electricity,"Yemen, Rep.",1991,Oil,100
Electricity,"Yemen, Rep.",1992,Oil,100
Electricity,"Yemen, Rep.",1993,Oil,100
Electricity,"Yemen, Rep.",1994,Oil,100
Electricity,"Yemen, Rep.",1995,Oil,100
Electricity,"Yemen, Rep.",1996,Oil,100
Electricity,"Yemen, Rep.",1997,Oil,100
Electricity,"Yemen, Rep.",1998,Oil,100
Electricity,"Yemen, Rep.",1999,Oil,100
Electricity,"Yemen, Rep.",2000,Oil,100
Electricity,"Yemen, Rep.",2001,Oil,100
Electricity,"Yemen, Rep.",2002,Oil,100
Electricity,"Yemen, Rep.",2003,Oil,100
Electricity,"Yemen, Rep.",2004,Oil,100
Electricity,"Yemen, Rep.",2005,Oil,100
Electricity,"Yemen, Rep.",2006,Oil,100
Electricity,"Yemen, Rep.",2007,Oil,100
Electricity,"Yemen, Rep.",2008,Oil,100
Electricity,"Yemen, Rep.",2009,Oil,99
Electricity,"Yemen, Rep.",2010,Oil,73
Electricity,"Yemen, Rep.",2011,Oil,78
Electricity,"Yemen, Rep.",2012,Oil,68
Electricity,"Yemen, Rep.",2013,Oil,67
Electricity,"Yemen, Rep.",2014,Oil,61
Electricity,World,1971,Oil,18
Electricity,World,1972,Oil,19
Electricity,World,1973,Oil,21
Electricity,World,1974,Oil,19
Electricity,World,1975,Oil,18
Electricity,World,1976,Oil,19
Electricity,World,1977,Oil,19
Electricity,World,1978,Oil,18
Electricity,World,1979,Oil,17
Electricity,World,1980,Oil,15
Electricity,World,1981,Oil,14
Electricity,World,1982,Oil,12
Electricity,World,1983,Oil,11
Electricity,World,1984,Oil,10
Electricity,World,1985,Oil,9
Electricity,World,1986,Oil,9
Electricity,World,1987,Oil,8
Electricity,World,1988,Oil,9
Electricity,World,1989,Oil,9
Electricity,World,1990,Oil,10
Electricity,World,1991,Oil,10
Electricity,World,1992,Oil,9
Electricity,World,1993,Oil,9
Electricity,World,1994,Oil,8
Electricity,World,1995,Oil,8
Electricity,World,1996,Oil,8
Electricity,World,1997,Oil,8
Electricity,World,1998,Oil,8
Electricity,World,1999,Oil,7
Electricity,World,2000,Oil,7
Electricity,World,2001,Oil,7
Electricity,World,2002,Oil,6
Electricity,World,2003,Oil,6
Electricity,World,2004,Oil,6
Electricity,World,2005,Oil,5
Electricity,World,2006,Oil,5
Electricity,World,2007,Oil,4
Electricity,World,2008,Oil,4
Electricity,World,2009,Oil,4
Electricity,World,2010,Oil,3
Electricity,World,2011,Oil,4
Electricity,World,2012,Oil,4
Electricity,World,2013,Oil,3
Electricity,World,2014,Oil,3
Electricity,Vietnam,1971,Oil,0
Electricity,Vietnam,1972,Oil,0
Electricity,Vietnam,1973,Oil,0
Electricity,Vietnam,1974,Oil,0
Electricity,Vietnam,1975,Oil,0
Electricity,Vietnam,1976,Oil,0
Electricity,Vietnam,1977,Oil,0
Electricity,Vietnam,1978,Oil,0
Electricity,Vietnam,1979,Oil,0
Electricity,Vietnam,1980,Oil,18
Electricity,Vietnam,1981,Oil,20
Electricity,Vietnam,1982,Oil,21
Electricity,Vietnam,1983,Oil,26
Electricity,Vietnam,1984,Oil,21
Electricity,Vietnam,1985,Oil,23
Electricity,Vietnam,1986,Oil,25
Electricity,Vietnam,1987,Oil,25
Electricity,Vietnam,1988,Oil,21
Electricity,Vietnam,1989,Oil,15
Electricity,Vietnam,1990,Oil,15
Electricity,Vietnam,1991,Oil,16
Electricity,Vietnam,1992,Oil,16
Electricity,Vietnam,1993,Oil,19
Electricity,Vietnam,1994,Oil,16
Electricity,Vietnam,1995,Oil,8
Electricity,Vietnam,1996,Oil,8
Electricity,Vietnam,1997,Oil,11
Electricity,Vietnam,1998,Oil,16
Electricity,Vietnam,1999,Oil,13
Electricity,Vietnam,2000,Oil,17
Electricity,Vietnam,2001,Oil,15
Electricity,Vietnam,2002,Oil,12
Electricity,Vietnam,2003,Oil,6
